fid,Date,City 1,Country 1,City 2,Country 2,Working,Source,"City, Country","City, Country:1",lat:1,lng
131,8 May 1950,New York City,USA,,,y,"SIU program, MHS Box 22 Personal Log","New York City, USA",,,
132,9 May 1950,New York City,USA,,,y,IBDB,"New York City, USA",,,
133,10 May 1950,New York City,USA,,,y,IBDB,"New York City, USA",,,
134,11 May 1950,New York City,USA,,,y,IBDB,"New York City, USA",,,
135,12 May 1950,New York City,USA,,,y,IBDB,"New York City, USA",,,
136,13 May 1950,New York City,USA,,,y,IBDB,"New York City, USA",,,
137,14 May 1950,New York City,USA,,,y,SIU Box 39 folder 2,"New York City, USA",,,
138,15 May 1950,New York City,USA,,,y,SIU Box 39 folder 2,"New York City, USA",,,
139,16 May 1950,New York City,USA,,,y,SIU Box 39 folder 2,"New York City, USA",,,
140,17 May 1950,New York City,USA,,,y,SIU Box 39 folder 2,"New York City, USA",,,
141,18 May 1950,New York City,USA,,,y,SIU Box 39 folder 2,"New York City, USA",,,
142,19 May 1950,New York City,USA,,,y,SIU Box 39 folder 2,"New York City, USA",,,
